rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
175,1,a,4,4,14,14,12,in,in,quick,hit,2,yes,jump,,,a
175,2,b,12,12,9,8,14,out,out,,,,,,hit_error,hit_error,a
176,1,b,2,2,12,,,,,,,,,jump,ace,ace,a
177,1,b,2,2,14,14,3,in,in,quick,hit,2,no,jump,,,a
177,2,a,3,3,11,11,7,in,in,quick,hit,2,no,,kill,kill,a
178,1,b,2,2,12,15,8,in,in,outside,blocked,2,yes,jump,,,b
178,2,b,8,13,12,25,8,out,out,outside,overpass,0,no,,,,b
178,3,a,8,8,13,11,11,in,in,oppo,blocked,2,yes,,kill,kill,b
179,1,a,3,3,13,15,9,in,in,outside,hit,1,no,jump,,,a
179,2,b,9,9,9,11,13,out,out,oppo,blocked,2,yes,,kill,kill,a
180,1,b,4,3,13,14,15,in,in,quick,blocked,1,yes,jump,,,a
180,2,b,15,15,8,11,19,out,out,oppo,hit,2,no,,hit_error,hit_error,a
181,1,b,2,2,13,15,7,in,in,outside,hit,1,no,jump,,,b
181,2,a,7,7,,,23,,,,,,,,hit_error,hit_error,b
182,1,a,2,2,11,11,2,in,in,oppo,hit,2,no,jump,kill,kill,a
183,1,b,,,,,,,,,,,,hybrid,serve_error,serve_error,b
184,1,a,7,7,12,15,2,in,in,outside,hit,2,no,float,kill,kill,a
185,1,b,3,3,,13,12,,,,tip,1,no,jump,,,a
185,2,a,12,12,13,11,15,in,in,oppo,tip,2,no,,,,a
185,3,b,15,15,8,6,8,out,out,oppo,hit,2,no,,,,a
185,4,a,8,7,8,11,18,out,out,oppo,hit,2,yes,,tool,tool,a
1,1,b,1,1,,,,,,,,,,jump,ace,ace,a
2,1,b,1,1,13,15,1,in,in,outside,hit,2,no,jump,kill,kill,b
3,1,a,7,8,13,15,25,in,in,outside,hit,2,yes,float,tool,tool,a
4,1,b,9,8,8,15,6,out,out,outside,hit,3,yes,float,kill,kill,b
5,1,a,8,7,13,6,4,in,in,oppo,hit,2,no,jump,,,a
5,2,b,10,10,19,,,out,,,,,,,kill,kill,a
6,1,b,3,3,13,15,,in,in,outside,blocked,1,yes,jump,,,b
6,2,b,14,14,13,,13,in,dump,dump,dump,0,no,,,,b
6,3,a,13,14,13,14,5,out,out,outside,free_ball,0,no,,,,b
6,4,b,9,9,13,12,6,in,in,quick,hit,1,no,,kill,kill,b
7,1,a,1,2,14,15,26,out,out,outside,hit,2,no,jump,hit_error,hit_error,b
8,1,a,5,4,9,,,out,,,,,,jump,ace,ace,b
9,1,a,2,2,7,15,4,out,out,outside,hit,2,no,jump,,,a
9,2,b,9,3,26,3,6,out,out,bic,free_ball,0,no,,,,a
9,3,a,6,9,13,15,10,in,in,outside,hit,1,no,,,,a
